2991,3,SN,II
3005.85,3,AU,I
3029.12,3,LI,II
3029.14,3,LI,II
3055.32,3,CA,I
3102.04,3,K,I
3113.06,3,RB,I
3155.31,3,LI,II
3202.96,3,HE,II
3442.66,3,XE,I
3446.46,3,GA,II
3523.34,3,AU,II
3545.61,3,AU,I
3582.39,3,SN,II
3613.64,3,HE,I
3639.87,3,AU,I
3648.84,3,K,I
3654.69,3,AU,I
3705,3,HE,I
3718.7,3,LI,I
3878.31,3,MG,I
3895.57,3,MG,I
4012.57,3,AU,I
4075.06,3,MG,I
4083.28,3,AU,II
4130.88,3,CO,II
4143.76,3,HE,I
4145.13,3,CO,II
4160.67,3,CO,II
4242.08,3,NA,I
4291.01,3,NA,I
4328.86,3,CO,II
4412.989,3,CD,I
4413.91,3,CO,II
4437.55,3,HE,I
4621.3,3,MG,I
4663.97,3,AU,I
4678.06,3,LI,II
4760.17,3,AU,II
4878.37,3,IN,I
4944.31,3,SN,II
5194.583,3,GE,I
5218.21,3,GA,II
5255.86,3,BE,II
5322.38,3,RB,I
5416.8,3,GA,II
5431.83,3,RB,I
5599.41,3,BI,I
5724.614,3,RB,I
6456.3,3,GA,II
6475.73,3,BI,I
6476.24,3,BI,I
6565.07,3,TH,I
6683.367,3,TH,I
6735.126,3,TH,I
6798.747,3,TH,I
6809.511,3,TH,I
6867.48,3,HE,I
6908.988,3,TH,I
6943.2,3,ZN,I
6981.086,3,TH,I
7015.319,3,TH,I
7026.462,3,TH,I
7028.68,3,W,I
7051.24,3,GA,I
7098.22,3,W,I
7109.861,3,TH,I
7132.613,3,TH,I
7242.355,3,TH,I
7270.558,3,TH,I
7289.6,3,GA,I
7298.25,3,W,I
7300.62,3,SC,I
7393.431,3,TH,II
7401.2,3,BE,II
7418.55,3,TH,I
7444.749,3,TH,I
7456.37,3,W,I
7493.6,3,TL,I
7520.66,3,W,I
7612.18,3,W,I
7631.29,3,W,I
7636.176,3,TH,I
7654.81,3,W,I
7776.73,3,W,I
7810.24,3,NA,I
7811.14,3,MG,I
7813.43,3,RU,I
7838.7,3,BI,I
7861.67,3,TM,I
7904,3,SN,II
